,source,MT,emotion_labels,error_types,error_severity
2578,包到大半夜还是包不完的货，碎觉,"Packed until the middle of the night or can't finish the goods, broken sleep",anger,Mistranslation; Mistranslation,Yes absolutely; Slightly
2579,2015年第一场雪，来的有些突然多少天都不见太阳了☀☀☀顶风冒雪步行上学的节奏，浓浓亲情，爱意满满。,"The first snow in 2015, some suddenly did not see the sun for many days ☀☀☀ The rhythm of walking to school against the wind and snow, strong family affection, full of love.",joy,Mistranslation,Slightly
2580,想不起有哪些细节，但已装满自己全部，不可逾越。,"I can't remember the details, but I've filled it all with myself and I can't pass it.",sadness,Mistranslation,Somewhere in between
2581,💕有一条路每个人非走不可，那就是年轻时候的弯路。爱恨纠缠都是必经之路，过了便是自己的人生✊,"💕There is a road that everyone has to take, and that is the detour when you are young. Love-hate entanglement is the only way to go, after that is your own life✊",sadness,None,Not at all
2582,天啊，才睡着几分钟就做梦了，还是噩梦，吓醒了[泪][泪][泪]好像还梦到深深了。宝宝保佑我别做噩梦了，吓死个人[泪][泪][泪],"Oh my god, I only had a dream for a few minutes before I fell asleep, and it was still a nightmare. I woke up scared [tears] [tears] [tears] and it seemed that I was still dreaming deeply. Baby bless me not to have nightmares, scared to death [tears] [tears] [tears]",sadness,Mistranslation,Slightly
2583,买了一包北京方便面，里面藏了5包调料,"I bought a pack of Beijing instant noodles, and there are 5 packs of seasonings hidden in it",surprise,None,Not at all
2584,我们在一起的第七个月，生活并不平静。今天青岛迎来了今年的初雪，我们并没有在一起。#下雪了#,"In our seventh month together, life was not peaceful. Today Qingdao ushered in the first snow of the year, and we were not together. #Snowing#",sadness,None,Not at all
2585,她越在电话里着急的说姐姐快回家我就越痛苦,"The more anxious she said on the phone, the more painful it would be for me to come home soon.",sadness,None,Not at all
2586,晚上和小弟打雪仗我小弟说，辣姐休息够了明天就上班了想不想让我去上班？小弟小脸微微一笑，不想让你去上班，又想让你去上班，能见到你心要被融化了好嘛,"In the evening, I had a snowball fight with my younger brother. My younger brother said, ""Sister Spicy will go to work tomorrow after she has enough rest. Do you want me to go to work?"" The little brother smiled slightly, I don't want you to go to work, but I want you to go to work again, my heart will be melted when I see you, okay?",joy,Mistranslation,Somewhere in between
2587,我就想知道三只松鼠买的板筋烧烤味和麻辣味一样么？第一次买的麻辣味10号到货，现在买的烧烤味16号到货，上次的都吃完了，现在却说我是买的麻辣味？我本来这次买的烧烤味，而且我拍的照片上面有标明烧烤味，这个客服不靠谱！还说看不到写着烧烤味，就说我买的是麻辣味，以后再也不买了。,"I just want to know if the barbeque grilled by the three squirrels has the same taste as spicy? The Mala flavor I bought for the first time arrived on the 10th, and the BBQ flavor I bought now arrived on the 16th. I finished eating the last time, but now they say I bought the Mala flavor? I originally bought the barbecue flavor this time, and the photos I took have the barbecue flavor on it. This customer service is not reliable! He also said that he couldn't see the barbecue flavor, so he said that I bought the spicy flavor, and I will never buy it again.",anger,Mistranslation; Mistranslation,Slightly; Slightly
2588,人生之路是自己的，没有谁能帮我走下去，但我用不着战战兢兢地生怕影子的黑暗吞没了太阳明亮的光线，人生之中，哪怕只有那么一次面对朝阳，也是一份荣耀。,"The road of life is my own, and no one can help me go down, but I don’t need to be afraid that the darkness of the shadow will swallow up the bright light of the sun. In my life, even facing the rising sun only once is an honor.",joy,None,Not at all
2589,"岁月极美，在于它必然的流逝。春花，秋月，夏日，冬雪。你若盛开，清风自来。亲爱的你,早安~","The beauty of time lies in its inevitable passing. Spring flowers, autumn moon, summer, winter snow. If you bloom, the breeze will come. Dear you, good morning~",joy,None,Not at all
2590,现在这快递都牛了，有事去不了吧，让他跑一趟，人家到好，别要了！呵！还给我签收了，不送了，这件衣服你穿啊！早知道，给你定大点号啊！,"Now this courier is too good. If something goes wrong, let him go, and when he arrives, don't ask for it! Ah! I signed for it, and I won't send it. You are wearing this dress! If I had known it earlier, I would have ordered a larger number for you!",anger,Mistranslation; Mistranslation; Mistranslation; Mistranslation,Somewhere in between; Slightly; Somewhere in between; Somewhere in between
2591,加入一个群，发现女的做投行比男的还要多。不禁感叹下，女汉子真多,"Join a group and find that there are more women doing investment banking than men. Can't help but sigh, there are so many female men",surprise,Mistranslation,Somewhere in between
2592,大二狗想要笔记本电脑计算机考试过不了,The sophomore dog wants a laptop and can't pass the computer exam,sadness,None,Not at all
2593,北门直升机从早上飞到晚上。一直在北门上空盘旋。飞的又低那个声浪太强没得哪个受的了。为啥子还飞了这么多年？门窗子关完了都大声就现在9点了还在飞@成都发布@四川新闻网@四川在线@CDTV新闻中心,"Beimen helicopters fly from morning to night. Has been hovering over the North Gate. It flew low and the sound was too strong, no one could take it. Why did it fly for so many years? The doors and windows are closed and it’s loud. It’s 9 o’clock now. It’s still flying.",anger,None,Not at all
2594,巴克莱银行真的好良心，呆比卡莫名其妙在印度尼西亚被盗刷提款，二话不说拒绝交易然后发短信给我确认。我把钱转移到安全账户，想省电话费就不打电话准备直接去银行cancel账户，结果还没出门就接到银行电话，帮我取消交易block掉呆比卡，门都不用出了，也没扣钱,"Barclays really has a good conscience. Dibika was inexplicably stolen and withdrawn in Indonesia. They refused the transaction and sent me a text message to confirm. I transferred the money to a secure account, and wanted to save phone bills without calling and going to the bank to cancel the account. As a result, I received a phone call from the bank before I left the house, and helped me cancel the transaction and block the Dubi card. no deduction",joy,Mistranslation,Somewhere in between
2595,《天才在左疯子在右》这书竟然出了电视剧,"The book ""Genius is on the left and the madman is on the right"" actually appeared in a TV series",surprise,Mistranslation,Slightly
2596,决定先回家舒舒服服的待上一星期。每次去西山居面运营都被问你有没有意愿做策划，我长得像是块能做策划的料么？做任务从来都不看剧情的我。还有，ceo果然都任性，说走就走。,"Decided to go home comfortably for a week. Every time I go to Xishan Noodles to operate, I am asked if you are willing to plan. Do I look like a piece of material that can be planned? I never watch the plot when doing missions. Also, CEOs are really self-willed, and they leave as soon as they say it.",anger,Mistranslation; Mistranslation,Slightly; Somewhere in between
2597,弄死个人一个晚上在梦里奔跑，累得上气不接下气闹那样闹那样闹那样嘎,"Kill someone running in a dream all night, out of breath",anger,Omission,Yes absolutely
2598,我很讨厌我的头发，因为他长的太快了,I hate my hair because he grows so fast,anger,None,Not at all
2599,妈蛋…气死我了，都特么什么东西啊…以为宿舍挨批大家心里都好受吗就是找所有的有可能呗。你特莫什么态度啊所有事就是你没事是呗…你懂什么是责任吗SB,"Damn... I'm so pissed off, it's so special... Do you think everyone feels good about being criticized in the dormitory? Just look for all the possibilities. What is your attitude? Everything is that you are fine... Do you know what responsibility is? SB",anger,Mistranslation; Omission; Mistranslation; Mistranslation,Yes absolutely; Somewhere in between; Somewhere in between; Somewhere in between
2600,这是一秒钟变冬天啊，我羽绒服都穿上了,"It's winter in a second, I'm wearing down jackets",surprise,Mistranslation,Somewhere in between
2601,今天给宝宝煮的卡通面片，宝宝吃完居然还要吃，,"The cartoon noodles I cooked for the baby today, the baby still wants to eat after eating,",surprise,None,Not at all
2602,我来自北方却在南方快冻成🐶最扯的是南方的宿舍空调竟然是单向的气候再温和也要供暖的吧,"I'm from the north but it's freezing in the south 🐶 The most ridiculous thing is that the air conditioner in the dormitory in the south is actually a one-way climate, and it needs heating no matter how mild the climate is.",sadness,None,Not at all
2603,真是长发及腰还没等到人娶我就快掉光了。,It's really long hair that reaches my waist and I'm about to fall out before anyone can marry me.,anger,None,Not at all
2604,小半夜又胃痛屁裹这个星期不能来男神有点冷漠耳机和论文不知道去哪里分娩了不过你大爷我还是很high,"I have a stomachache in the middle of the night and I can't come this week. The male god is a little indifferent. I don't know where to go to give birth. But you sir, I'm still very high.",joy,Mistranslation; Mistranslation; Mistranslation,Slightly; Somewhere in between; Somewhere in between
2605,那边百多米高楼，还未入住就轰然倒下。这边竟有此棚舍，还是东方明珠！令人情何以堪？,"Over there, the more than 100-meter-high building collapsed before moving in. There is this shack here, and it is the Pearl of the Orient! How embarrassing?",anger,None,Not at all
2606,人生，有太多的东西都是过期不候。就像与很多人的交集，一个转身离去，便是一辈子、后会无期。曾经一度认为，自己永远不会疏远的某些人，某些事。如今，却出乎意料的云淡风轻，视为风烟。也许，这便是历练，便是成长。纵是一颗再柔软的心，它也经不起太多的凉薄与虚伪,"In life, too many things are overdue. Just like the intersection with many people, if you turn around and leave, you will have a lifetime and no future. Some people, some things, that I once thought I would never alienate. Today, it is unexpectedly light and windy, and it is regarded as wind and smoke. Perhaps, this is the experience, is the growth. No matter how soft a heart is, it can't stand too much coldness and hypocrisy",sadness,Mistranslation,Somewhere in between
2607,看完《滚蛋吧肿瘤君》看电影从来不哭的我竟然泪崩～,"After watching ""Fuck Off Tumor Jun"", I never cried when I watched a movie, but I burst into tears~",sadness,None,Not at all
2608,在土耳其和俄罗斯的对掐中，我上国的态度是很明确的：那就是反日反美,"In the confrontation between Turkey and Russia, my attitude to China is very clear: that is, anti-Japanese and anti-American",joy,Mistranslation,Somewhere in between
2609,提心吊胆一整天终于踏上了南下SanDiego的路。同样是美国，为什么和西雅图的打开方式差那么多呢？！你们说DT脏乱差，明明是恐怖好不好！好不容易坐上灰狗，安全带扣是坏的，后面大叔的手一直在我的靠垫上摸来摸去，还有高架的路面怎么会是倾斜的[衰]美国·洛杉矶,"After a whole day of apprehension, I finally set foot on the road south to SanDiego. It is also the United States, why is it so different from Seattle's opening method? ! When you say that DT is dirty and messy, it's obviously scary, okay? I finally got on the greyhound, the seat belt buckle was broken, the uncle's hand in the back kept stroking on my cushion, and how could the elevated road be sloping? [Bad] Los Angeles, USA",fear,Mistranslation; Mistranslation,Somewhere in between; Yes absolutely
2610,昨晚吃个小龙虾被贴条，早起走隧道，过大桥，浦西浦东来回绕，长途跋涉，历经千辛万苦终于开到重庆路淮海路，眼看希望就在前方，“彭”的一声，姐又被撞了！还是姐全责！不开心了！真的不开心了！！！,"I ate a crayfish last night and was posted. I got up early and walked through the tunnel, crossed the bridge, and circled around Puxi and Pudong. After a long journey, I finally drove to Huaihai Road, Chongqing Road, after a lot of hard work. Sister got hit again! It's my sister's responsibility! Not happy anymore! Really unhappy! ! !",anger,Mistranslation; Mistranslation,Somewhere in between; Somewhere in between
2611,初雪的日子，去看了我的少女时代，满满粉红色的回忆～晚上跟大家排舞到深夜感觉棒棒的～觉得自己长胖了不开心😔，所以晚安啦，为了穿上漂亮衣服,"On the first snow day, I went to see my Girls’ Generation, full of pink memories~ It feels great to dance with everyone until late at night~ I feel unhappy that I am gaining weight😔, so good night, in order to put on beautiful clothes",joy,None,Not at all
2612,双十一买买的后果，真的是吃土，想吃火锅，只能去买关东煮代替,"The consequences of buying on Double Eleven are really eating dirt. If you want to eat hot pot, you can only buy oden instead.",sadness,Mistranslation,Yes absolutely
2613,大家好，我叫韩非池，我今天来做万人斩的成。。。。诶，完成了？1,"Hello everyone, my name is Han Feichi, and I am here today to do thousands of beheadings. . . . eh, done? 1",sadness,None,Not at all
2614,微博出问题了吗，刷新出来的都是几小时之前的，几天之前的，就是没有刚刚的,"Is there a problem with Weibo? The refreshed ones are only a few hours ago, and the ones just a few days ago are not fresh.",anger,Mistranslation,Somewhere in between
2615,买洗衣机缺1500，最近手还伤了,"Buying a washing machine is short of 1500, and my hand has been hurt recently",anger,None,Not at all
2616,现在高飞的风筝都要影响飞机飞行啦,Now the flying kites will affect the flight of the plane,surprise,None,Not at all
2617,翻了翻以前的照片，发现那时候我眼睛是内双，现在我是外双，难道是睡的？,"Looking through the previous photos, I found that my eyes were inner double at that time, and now I am outer double, is it sleeping?",surprise,Mistranslation; Mistranslation,Somewhere in between; Slightly
2618,我想在雨里走一走，就假装你在我身边。,I want to take a walk in the rain and pretend you're by my side.,sadness,None,Not at all
2619,不就是洗个脸嘛，从七点二十洗到现在，脸真大！,"Isn't it just a face wash, since I washed it at 7:20 to the present, my face is really big!",anger,Mistranslation,Somewhere in between
2620,为什么大家都在看恐怖片[白眼]前几天在朋友家看了釜山行，我的妈呀，那画面绝对是会做噩梦的！于是乎我抱着抱枕溜达来溜达去，让朋友给我讲解一下剧情，最后没忍住还哭了两次[泪][泪][泪][泪][泪]为什么最近眼窝这么浅，看啥都能哭一鼻子[委屈][委屈][委屈][委屈][委屈],"Why is everyone watching the horror movie [Blank Eyes] I watched Train to Busan at a friend's house a few days ago, my god, that scene will definitely give you nightmares! So I walked around holding the pillow, and asked my friend to explain the plot to me. In the end, I couldn't hold back and cried twice [tears] [tears] [tears] [tears] [tears] Why are my eye sockets so shallow recently, look Anything can cry a nose [grievance] [grievance] [grievance] [grievance] [grievance]",fear,Mistranslation,Somewhere in between
2621,如果明天的路你不知该往哪儿走🙈我怎么会突然喜欢上这首俗气爆的歌……,If you don't know where to go tomorrow on the road🙈 How could I suddenly fall in love with this cheesy song...,surprise,Mistranslation,Slightly
2622,四号线角门西站，有一个男子在站台反复喊，向上帝忏悔吧，兄弟姐妹们，我已经尽力了。,"At Jiaomen West Station of Line 4, a man shouted repeatedly on the platform, repent to God, brothers and sisters, I have tried my best.",sadness,None,Not at all
2623,大家可不可以想象一周不洗头发的样子吗，可还是不能洗，啥时候能上学,"Can you imagine what it looks like if you don’t wash your hair for a week, but you still can’t wash it, when will you be able to go to school?",anger,None,Not at all
2624,时隔多年回到西安——本来是很美好的一个故事的开头是吧。可惜机场出租依然那么不规范，走五块钱的高速硬要收十块，还说我都给你打表了还要怎样，被这个逻辑打败了,"Returning to Xi'an after many years - the beginning of a beautiful story, isn't it? It's a pity that airport taxis are still so unstandardized. You have to charge ten yuan for a five-dollar expressway, and they say that I have already printed the meter for you. What should I do? I was defeated by this logic.",anger,Mistranslation,Somewhere in between
2625,遇到最奇葩的外卖送，来了不给打电话，说自己电话费贵😳我认识你吗，请问，你也不骑快递车也不打电话，我知道哪个是你？还是你认识我，我脸上写着订外卖呢？那你倒是把外卖给我呀，你不打电话我能知道哪个是送外卖的还怪我咯，以后订外卖，我都举个牌子，写上，我订的外卖？,"Encountered the most bizarre take-out delivery, don't call when you come, say your phone bill is expensive 😳 Do I know you, please, you don't ride a courier car and don't call, I know which one is you? Or do you know me and I order takeout with my face written on it? Then you give me the takeaway. If you don't call me, I can know which one is the takeaway and blame me. When ordering takeaway in the future, I will hold a sign and write, ""I ordered takeout?""",anger,Mistranslation,Somewhere in between
2626,不是唱歌就是大声说话你是失恋吗,"Either singing or talking loudly, are you brokenhearted?",anger,None,Not at all
2627,背后这些阴暗势力的灰色利益链圈子广泛的让人难以想象，总之因为一点小小的利益就能引发这些利益链的连锁反应，就好比被一只马蜂盯咬上了，结果搞到最后整窝马蜂全暗地里玩阴的不择手段围攻打击报复祸害我一个人，这样都没被整死祸害掉，更不可思议的是最后其他省市也全脑控联盟联网打压祸害我。,"The gray interest chain circles behind these dark forces are so extensive that it is hard to imagine. In short, because a small interest can trigger a chain reaction of these interest chains, it is like being bitten by a wasp, and the result is a whole nest in the end. Wasp all secretly played yin by unscrupulous siege, retaliation, and harmed me alone, so I was not killed by the whole scourge. What is even more incredible is that in the end, other provinces and cities also networked with the entire brain control alliance to suppress and harm me.",anger,Mistranslation,Slightly
2628,么？说一个是看见苏苏笑苏苏温柔的弯起嘴角我心就酸酸的,"What? Saying one is seeing Susu smiling and Susu bending the corners of her mouth gently, my heart is sour",sadness,Mistranslation,Yes absolutely
2629,我很无聊但我不会找你因为我很酷没想到你比我更酷我不找你你也不找我你二大爷的狗腿子的我才是宇宙无敌最酷的,"I'm bored but I won't look for you because I'm cool I didn't expect you to be cooler than me I don't look for you, you don't look for me, I'm the coolest guy in the universe.",anger,Omission,Yes absolutely
2630,上周日这个打扮去看马拉松。本周下雪我都没有武装这么严！,Dressed up for the marathon last Sunday. It snowed this week and I wasn't so heavily armed!,surprise,Mistranslation,Somewhere in between
2631,谢谢大家的祝福待会有空时会逐一回复的,"Thank you for your blessings, I will reply one by one when I have time",joy,None,Not at all
2632,最近半夜迷上看吃播尤其钟爱泡面的吃播把所有现在不能吃的然后很想吃的都看了一遍本宝宝现在饿得想哭等肠胃好了第一件事奏是吃！泡！面！,"Recently, I became obsessed with watching the food broadcast in the middle of the night, especially the food broadcast of instant noodles. I have read all the things that I can't eat now and then I really want to eat. The baby is now hungry and wants to cry. The first thing to do is to eat! Bubble! noodle!",sadness,Mistranslation; Mistranslation,Slightly; Slightly
2633,【充电宝居然能“偷窥”手机里的私密照！！！,"[The power bank can actually ""peep"" the private photos in the mobile phone! ! !",fear,None,Not at all
2634,和表妹相处了几天，她也算是我看这长大的了，只是没想到一个17岁的小姑娘尽然会这么听话，这么的乖，简直就是一点叛逆的心理都没有,"I've been with my cousin for a few days, and she's grown up, but I didn't expect a 17-year-old girl to be so obedient, so obedient, she doesn't have any rebellious mentality at all.",surprise,Mistranslation,Slightly
2635,宿便，湿气！你们听好了！信不信我👇,"Stool, moisture! Listen up! Believe it or not 👇",anger,None,Not at all
2636,碰上个逼逼叨的司机～宝宝要迟到了啊,I ran into a nagging driver~ The baby is going to be late,anger,Mistranslation,Slightly
2637,张予曦和万国鹏在一起了？？？！！！,Zhang Yuxi and Wan Guopeng are together? ? ? ! ! !,surprise,None,Not at all
2638,这个表情觉得挺可爱，butalsoSuitmeandibeginhatemicroblog.now!,"This look is cute, but alsoSuitmeandibeginhatemicroblog.now!",anger,None,Not at all
2639,睡前吃了一大块牛又干！！！ಥ_ಥ,I ate a big piece of beef before going to bed and it was dry! ! ! ಥ_ಥ,sadness,Mistranslation,Slightly
2640,每次到下午三点的时候，我就开始头脑晕花，看见电脑就想吐,"Every time it reaches 3 o'clock in the afternoon, I start to feel dizzy and feel like throwing up when I see the computer",sadness,None,Not at all
2641,大晚上的我妈问我想喝豆浆不，我以为她逗我玩呢，然而不一会儿我就听到了豆浆机的轰鸣声，又过了一会儿，我就喝到了热气腾腾的甜甜的豆浆,"My mother asked me if I wanted to drink soy milk at night. I thought she was teasing me, but after a while I heard the roar of the soy milk machine, and after a while, I drank the steaming sweet soy milk.",joy,None,Not at all
2642,出门被洒水车洗了个澡，在这种下雨天里分外凉爽么,I was showered by a sprinkler when I went out. Is it particularly cool in this rainy day?,sadness,None,Not at all
2643,没有了让我扯嗓子满楼喊的阿葵…没有了处处为我想到的彼得…没有了大活宝球球逗我开心…没有了我的小茶吧…没有了周末陪我吃面条的面友…忽然好忧伤,There is no Akui who makes me shout all over the floor... No Peter who thinks about me everywhere... No big balls to make me happy... No my little tea... No noodles friends who accompany me to eat noodles on weekends ...suddenly so sad,sadness,None,Not at all
2644,打卡Day04只有设定了目标才知道有多少欠缺，才发现每天走一小步已经不错,"Punch Day04 Only when you set a goal can you know how much you are lacking, only to find that taking a small step every day is good",joy,Mistranslation,Slightly
2645,“眼袋重的都能掛油瓶了”哈哈需要休息～💨💨💨,"""Those with heavy eye bags can hang on oil bottles"" Haha needs to rest~💨💨💨",surprise,None,Not at all
2646,记得有次中午和同桌去食堂吃饭，一不小心咬到舌头了，我疼的叫出了声！同桌问：“怎么了啊？”我疼得实在说不出话来，指了指桌子上的饭，又指了指我的嘴，往地下吐了点血……这货当时居然大喊道：“大家都别他妈吃了！菜里有毒！！！！”,"I remember going to the cafeteria with the same table for lunch once, and accidentally bit my tongue, and I cried out in pain! The same table asked: ""What's wrong?"" I was so in pain that I couldn't speak. I pointed to the rice on the table, then pointed to my mouth, and vomited some blood to the ground... This guy actually shouted at that time. Said: ""Everyone, don't fucking eat it! The food is poisonous!!!!""",surprise,Mistranslation,Slightly
2647,突然发现来了悉尼并没有交到什么朋友，也不是身边的人不好，他们都是很好的人，只是长大了的我越发害怕深交以后还依旧要分别。总想念些旧人旧事，大概因为他们出现在我最不畏惧离别的年纪。澳大利亚·悉尼,"Suddenly I found out that I didn't make any friends when I came to Sydney, and it wasn't because the people around me were bad. They were all very good people, but as I grew up, I was more and more afraid that I would still have to separate after making deep friendships. I always miss some old people and things, probably because they appeared at the age when I was least afraid of parting. Sydney, Australia",sadness,None,Not at all
2648,想起以前自己那么蠢就想狠狠的抽自己两大嘴巴子,"Remembering how stupid I used to be, I want to slap my two big mouths fiercely",anger,Mistranslation,Slightly
2649,尼玛逼，球进了，裁判你特么眼睛瞎么？,"Nima forced, the ball scored, are you so blind, the referee?",anger,Mistranslation; Omission,Yes absolutely; Yes absolutely
2650,开心么？其实开不开心，我自己知道。虽然我每天都没心没肺的的笑着，可是，天知道我有多累。,"Are you happy? In fact, I am not happy, I know it myself. Although I laughed heartlessly every day, but God knows how tired I am.",sadness,None,Not at all
2651,从11月3号到11月14号，这么长时间不更博啦！,"From November 3rd to November 14th, there will be no more blogging for such a long time!",surprise,Mistranslation,Slightly
2652,这是我吃过最大最厚分量最足的烧白,"This is the largest, thickest and most generous roasted white I have ever eaten.",surprise,Mistranslation,Slightly
2653,今天我才知道，黄子韬和陈翔是两个人，只看照片傻傻地分不清。,"I just found out today that Huang Zitao and Chen Xiang are two people, and I can't tell them apart just by looking at the photos.",surprise,None,Not at all
2654,拜托看看现在多少度好嘛，学校能不能用用脑子,"Please see how many degrees are now, can the school use their brains?",anger,Mistranslation,Slightly
2655,“后来我才明白很多事情说再多都没有用就像你拿着一杯热水虽然很渴但觉得烫手还是会放下”,"""Later I realized that a lot of things are useless no matter how much you talk about, just like you are thirsty with a cup of hot water, but you will put it down when you feel hot.""",sadness,None,Not at all
2656,下雪了玩的好开心，虽然没有她们但还有刘维维同学陪我呀(｡･ω･｡)ﾉ♡，不知道你们在哪儿玩的好不好有没有感冒，豆荚和基鸟要好好的最后附一张欧巴1.0版😄,"It snowed and had a lot of fun. Although I didn’t have them, I still had Liu Weiwei to accompany me (｡･ω･｡)ﾉ♡, I don’t know where you were playing well or not. Did you catch a cold? Doupod and Ji Bird have to have a good time at the end. Attached a Oppa version 1.0 😄",joy,Mistranslation; Mistranslation; Mistranslation,Slightly; Somewhere in between; Somewhere in between
2657,洗个澡的工夫，橙汁打来两个电话都没接到…我…不…开…心…,"While taking a bath, I didn't get two calls from Orange Juice...I...not...happy...heart...",sadness,Mistranslation,Slightly
2658,没有犯错的机会所以每一步都要谨慎,There is no chance of making mistakes so be careful every step of the way,sadness,None,Not at all
2659,踢个香港，裁判黑成这样…不知道该说什么了,"Kick Hong Kong, the referee is so black... I don't know what to say",anger,Mistranslation; Mistranslation,Yes absolutely; Yes absolutely
2660,下雨天公交车上的人爆多，挺着大肚子实属不易，心情不好和老公吵了一架，谁让他提前出发呢？吃过晚饭已经九点了，不喜欢下雨天，不喜欢下雨天，不喜欢下雨天,"There are so many people on the bus on rainy days. It is not easy to have a big belly. I was in a bad mood and quarreled with my husband. Who told him to leave early? It's already nine o'clock after dinner, I don't like rainy days, I don't like rainy days, I don't like rainy days",anger,Mistranslation,Slightly
2661,真是傻B天天有，今天特别多！一帮小屁孩，懂不懂什么叫尊重？！明明很搓火，可跟他们着急太low了！好的不学，各种陋习简直有如神助，分分钟领悟！真TM恶心！！,"It's so stupid that B has it every day, especially today! A bunch of little kids, do you know what respect is? ! It's obviously very hot, but it's too low to be anxious with them! If you don't learn the good ones, all kinds of bad habits are like divine help, and you can comprehend them in minutes! Really TM disgusting! !",anger,Mistranslation; Mistranslation; Mistranslation; Untranslated,Yes absolutely; Yes absolutely; Somewhere in between; Yes absolutely
2662,以后我当你妈我来心疼你哈哈哈哈哈哈哈哈,"In the future, I will be your mother and I will feel sorry for you hahahahahahaha",joy,Mistranslation,Yes absolutely
2663,买来买去就不知道怎么就买了11样，有种好捏的感觉,I bought 11 items without knowing how to buy them. It feels like a good pinch.,surprise,Mistranslation; Mistranslation,Somewhere in between; Somewhere in between
2664,#台风海葵#【突发！！】要粗大事了，上海中心的顶楼脚手架被台风吹松了，摇摇欲坠啊。[衰]via幸福的蓝色月光陆家嘴的TX绕开上海中心的工地吧！[话筒]已经报了119。。。[衰]tks@上海滩包打听,"#typhoon sea anemone# [Sudden! ! 】It's going to be a big deal. The scaffolding on the top floor of the Shanghai Center was blown loose by the typhoon, and it was crumbling. [Bad] via happy blue moonlight Lujiazui TX bypass the construction site of Shanghai Center! [Microphone] has called 119. . . [Bad] tks@Shanghai beach bag to inquire",surprise,Mistranslation; Mistranslation,Somewhere in between; Slightly
2665,为了公益活动加分抵迟到也是蛮拼，但是又撞到YuMingZhu，一身黄黄的使得我再次被说不着装不正式…我说今天才知道参会没准备，她说上班应该每天都穿正式。,"It was a lot of work to be late for extra points for public welfare activities, but I bumped into YuMingZhu again. I was dressed in yellow and yellow, so I was once again told that I could not dress formally... I said that I only knew today that I was not ready for the meeting, and she said that I should wear formal every day to work.",anger,Mistranslation; Mistranslation; Mistranslation,Somewhere in between; Yes absolutely; Somewhere in between
2666,信息泄漏太严重，垃圾招聘短信电话已经严重影响我的睡眠质量，滚粗好吗,The information leakage is too serious. Spam recruitment text messages and calls have seriously affected my sleep quality.,anger,Omission,Yes absolutely
2667,看别人发微博我就也想发我咋这么欠呢,"When I see other people posting on Weibo, I also want to post why I owe so much.",sadness,Mistranslation,Yes absolutely
2668,快递被中通给弄丢了双11买个东西容易嘛醉了,The courier was lost by ZTO. It's easy to buy something on Double 11. I'm drunk,anger,Mistranslation; Mistranslation,Yes absolutely; Yes absolutely
2669,尼玛，以后跟一些败类说事情得准备好录音笔,"Nima, when you talk to some scum in the future, you need to have a recorder ready.",anger,Mistranslation,Yes absolutely
2670,上个职业规划老师也要问，从来没谈过恋爱的举个手老师这个很好玩吗感受到这世界满满的恶意,"The last career planning teacher also asked, raise your hand teacher who has never been in love is this fun? I feel the world is full of malice",anger,Mistranslation,Yes absolutely
2671,有时可能脆弱得听到一句凶我的话就泪流满面有时也发现自己咬着牙走了很长的路此刻巨累！！！,"Sometimes I may be so fragile that I burst into tears when I hear a harsh word, and sometimes I find myself gritting my teeth and walking a long way. ! !",sadness,Omission,Somewhere in between
2672,现在这医院也开始做回访了，姐6月28日因疱疹引起发烧头痛在三医院住院，今天居然打电话问我病情好些没,Now this hospital has also started a return visit. My sister was hospitalized in the third hospital on June 28 because of herpes and headache. She called me today to ask if my condition is better.,surprise,Mistranslation,Yes absolutely
2673,兴趣过后更需要坚持否则只是浅薄的虚妄,"After the interest is over, you need to persevere, otherwise it is just superficial and false",joy,None,Not at all
2674,6点吃的面条，9点喝奶，结果连面带奶全部吐出来。换了衣服，换了床单，又接着睡了。我真的服了她的胃，吃那么少还这样。,"I ate noodles at 6 o'clock and drank milk at 9 o'clock, and I spit out all the milk with the noodles. Changed clothes, changed sheets, and went back to sleep. I really took her stomach, eating so little and still like this.",surprise,Mistranslation; Mistranslation,Slightly; Yes absolutely
2675,恐怖片中吓人镜头集锦，将近9分钟，40部影片，简单粗暴直接吓……最适合无聊的时候看！[阴险]~慎点。秒拍视频,"A collection of scary scenes in horror movies, nearly 9 minutes, 40 videos, simple and rude and scary... It is best to watch when you are bored! [Insidious] ~Be careful. Video in seconds",fear,None,Not at all
2676,不想睡觉，不想闭眼，睡着了都是梦，精神崩溃的感觉有没有,"I don't want to sleep, I don't want to close my eyes, it's just a dream when I fall asleep, do you feel like a nervous breakdown?",anger,Mistranslation; Mistranslation,Slightly; Yes absolutely
2677,咦？一向笑意吟吟风度翩翩的岳父大人肿么突然生气起来了？！,Huh? Why is the always smiling and graceful father-in-law suddenly angry? !,surprise,None,Not at all
2678,又到了一年一度的失眠节了，得调整下，头晕,"It's the annual insomnia festival again, I have to adjust, dizziness",sadness,None,Not at all
2679,晚睡强迫症晚期不想睡的时候就天马行空最后还是会想到家里想到那些许久不见的人儿,"Late to sleep obsessive-compulsive disorder late, when I don’t want to sleep, I’m just thinking about my family and thinking about those people I haven’t seen for a long time",anger,Mistranslation,Somewhere in between
2680,能让我妈11点多还打个电话过来的事情是有多严重,How serious is it that my mom can get a phone call after 11:00,surprise,None,Not at all
